1, {33 506900}, {37 508700}, {39 508300}, {37 1396130536800}, {39 62963100}, {32 508700}, {31 520800}, {35 0}, {30 1371319574500}, {37 58010500}
0, {33 508000}, {37 508300}, {40 507600}, {32 1426701721600}, {40 56441300}, {30 510200}, {34 507600}, {37 507300}, {33 1414107491300}, {40 56902700}
2, {33 0}, {37 1017000}, {38 506900}, {35 1382947644500}, {38 65592000}, {30 508000}, {32 507300}, {34 0}, {32 1371881904000}, {36 56373100}
2, {29 507300}, {33 1016300}, {37 0}, {36 1368390725200}, {38 61520100}, {32 1016000}, {30 507300}, {37 0}, {29 1358094739100}, {37 58490400}
1, {27 508300}, {37 508400}, {39 0}, {33 1399796266000}, {39 58561900}, {30 509000}, {37 1018600}, {36 0}, {28 1394293224400}, {37 64588500}
3, {29 1016300}, {34 509100}, {36 0}, {30 1364902813900}, {37 46903700}, {24 509900}, {31 508700}, {36 508000}, {28 1382137773300}, {37 49817800}
1, {36 508400}, {37 1019200}, {38 0}, {38 1416473663300}, {39 59967300}, {30 513100}, {29 509100}, {33 506900}, {35 1396635239400}, {37 61579100}
2, {34 508000}, {36 1019200}, {38 0}, {31 1304785515100}, {38 53637000}, {25 508000}, {32 1017400}, {35 0}, {32 1377407991700}, {36 54901700}
2, {36 508000}, {37 508300}, {38 0}, {34 1375580177600}, {38 66348400}, {33 508700}, {35 508700}, {36 509100}, {29 1333792278700}, {38 54941400}
0, {35 508300}, {35 1015700}, {40 0}, {34 1413551657000}, {40 59476500}, {35 507200}, {34 0}, {38 508400}, {31 1402109313600}, {38 67778900}
3, {34 508000}, {30 508700}, {37 0}, {27 1371806612100}, {37 55002300}, {27 508000}, {29 508700}, {31 508700}, {29 1362256568800}, {33 47281100}
1, {33 506500}, {37 1017100}, {39 0}, {37 1397880750900}, {39 55449400}, {29 508000}, {32 507300}, {35 0}, {25 1374315161900}, {36 49765300}
1, {39 509100}, {35 506900}, {39 509100}, {33 1404394156400}, {39 58963700}, {32 509500}, {31 1013000}, {36 0}, {29 1388630654800}, {38 63573900}
2, {35 510600}, {27 508300}, {38 508400}, {37 1390842360800}, {38 54921800}, {26 1016300}, {30 507300}, {34 0}, {28 1371846102000}, {35 54981900}
0, {36 1016700}, {34 0}, {39 0}, {40 1405951495800}, {40 55369900}, {36 508400}, {31 506900}, {37 507200}, {34 1382934510800}, {38 58578000}
